year,month,region,count
2023,2,대구,"20,521"
2023,2,인천,"23,968"
2023,2,광주,"8,260"
2023,2,대전,"13,231"
2023,2,울산,"6,641"
2023,2,세종,"3,156"
2023,2,경기,"67,649"
2023,2,강원,"12,076"
2023,2,충북,"12,619"
2023,2,충남,"13,482"
2023,2,전북,"10,180"
2023,2,전남,"13,478"
2023,2,경북,"12,853"
2023,2,경남,"19,741"
2023,2,제주,"25,977"
2023,1,서울,"53,891"
2023,1,부산,"19,622"
2023,1,대구,"20,150"
2023,1,인천,"24,079"
2023,1,광주,"8,056"
2023,1,대전,"13,022"
2023,1,울산,"6,303"
2023,1,세종,"3,093"
2023,1,경기,"66,551"
2023,1,강원,"11,848"
2023,1,충북,"12,319"
2023,1,충남,"13,244"
2023,1,전북,"9,933"
2023,1,전남,"12,822"
2023,1,경북,"12,558"
2023,1,경남,"19,271"
2023,1,제주,"25,673"
2022,12,서울,"53,612"
2022,12,부산,"19,593"
2022,12,대구,"20,210"
2022,12,인천,"23,974"
2022,12,광주,"8,025"
2022,12,대전,"13,044"
2022,12,울산,"6,301"
2022,12,세종,"3,044"
2022,12,경기,"66,606"
2022,12,강원,"11,842"
2022,12,충북,"12,316"
2022,12,충남,"13,234"
2022,12,전북,"9,901"
2022,12,전남,"12,770"
2022,12,경북,"12,555"
2022,12,경남,"19,278"
2022,12,제주,"25,736"
2022,11,서울,"51,773"
2022,11,부산,"19,464"
2022,11,대구,"20,157"
2022,11,인천,"23,546"
2022,11,광주,"7,783"
2022,11,대전,"12,741"
2022,11,울산,"6,275"
2022,11,세종,"2,983"
2022,11,경기,"64,864"
2022,11,강원,"11,469"
2022,11,충북,"12,084"
2022,11,충남,"13,080"
2022,11,전북,"9,749"
2022,11,전남,"12,356"
2022,11,경북,"12,264"
2022,11,경남,"18,618"
2022,11,제주,"25,227"
2022,10,서울,"49,858"
2022,10,부산,"18,659"
2022,10,대구,"19,549"
2022,10,인천,"21,871"
2022,10,광주,"7,423"
2022,10,대전,"12,154"
2022,10,울산,"6,140"
2022,10,세종,"2,850"
2022,10,경기,"61,597"
2022,10,강원,"11,023"
2022,10,충북,"11,730"
2022,10,충남,"12,591"
2022,10,전북,"9,525"
2022,10,전남,"11,843"
2022,10,경북,"11,699"
2022,10,경남,"17,482"
2022,10,제주,"24,283"
2022,9,서울,"48,387"
2022,9,부산,"17,605"
2022,9,대구,"18,733"
2022,9,인천,"20,220"
2022,9,광주,"7,034"
2022,9,대전,"11,566"
2022,9,울산,"5,733"
2022,9,세종,"2,697"
2022,9,경기,"57,658"
2022,9,강원,"10,564"
2022,9,충북,"11,214"
2022,9,충남,"12,146"
2022,9,전북,"9,118"
2022,9,전남,"11,302"
2022,9,경북,"11,206"
2022,9,경남,"16,365"
2022,9,제주,"23,549"
2022,8,서울,"46,153"
2022,8,부산,"16,547"
2022,8,대구,"17,890"
2022,8,인천,"18,660"
2022,8,광주,"6,705"
2022,8,대전,"10,962"
2022,8,울산,"5,455"
2022,8,세종,"2,553"
2022,8,경기,"53,053"
2022,8,강원,"10,148"
2022,8,충북,"10,761"
2022,8,충남,"11,409"
2022,8,전북,"8,558"
2022,8,전남,"10,743"
2022,8,경북,"10,837"
2022,8,경남,"15,449"
2022,8,제주,"23,079"
2022,7,서울,"44,733"
2022,7,부산,"15,920"
2022,7,대구,"17,371"
2022,7,인천,"17,579"
2022,7,광주,"6,491"
2022,7,대전,"10,321"
2022,7,울산,"5,425"
2022,7,세종,"2,478"
2022,7,경기,"49,791"
2022,7,강원,"9,624"
2022,7,충북,"10,266"
2022,7,충남,"11,099"
2022,7,전북,"7,930"
2022,7,전남,"10,409"
2022,7,경북,"10,399"
2022,7,경남,"14,673"
2022,7,제주,"22,752"
2022,6,서울,"43,760"
2022,6,부산,"15,348"
2022,6,대구,"16,588"
2022,6,인천,"16,605"
2022,6,광주,"6,235"
2022,6,대전,"9,698"
2022,6,울산,"5,594"
2022,6,세종,"2,412"
2022,6,경기,"46,999"
2022,6,강원,"9,249"
2022,6,충북,"9,538"
2022,6,충남,"10,612"
2022,6,전북,"7,644"
2022,6,전남,"9,610"
2022,6,경북,"9,717"
2022,6,경남,"14,104"
2022,6,제주,"22,361"
2022,5,서울,"42,381"
2022,5,부산,"14,837"
2022,5,대구,"15,821"
2022,5,인천,"15,118"
2022,5,광주,"6,031"
2022,5,대전,"9,466"
2022,5,울산,"5,558"
2022,5,세종,"2,342"
2022,5,경기,"44,393"
2022,5,강원,"8,856"
2022,5,충북,"9,164"
2022,5,충남,"10,140"
2022,5,전북,"7,441"
2022,5,전남,"9,327"
2022,5,경북,"9,431"
2022,5,경남,"13,527"
2022,5,제주,"22,124"
2022,4,서울,"40,995"
2022,4,부산,"14,311"
2022,4,대구,"15,168"
2022,4,인천,"13,629"
2022,4,광주,"5,855"
2022,4,대전,"8,886"
2022,4,울산,"5,405"
2022,4,세종,"2,229"
2022,4,경기,"41,693"
2022,4,강원,"8,428"
2022,4,충북,"8,523"
2022,4,충남,"9,726"
2022,4,전북,"7,263"
2022,4,전남,"9,031"
2022,4,경북,"8,983"
2022,4,경남,"12,831"
2022,4,제주,"21,959"
2022,3,서울,"39,636"
2022,3,부산,"13,615"
2022,3,대구,"14,705"
2022,3,인천,"12,839"
2022,3,광주,"5,631"
2022,3,대전,"7,908"
2022,3,울산,"5,311"
2022,3,세종,"2,066"
2022,3,경기,"38,624"
2022,3,강원,"7,971"
2022,3,충북,"7,858"
2022,3,충남,"9,276"
2022,3,전북,"6,943"
2022,3,전남,"8,499"
2022,3,경북,"8,487"
2022,3,경남,"12,346"
2022,3,제주,"21,784"
2022,2,서울,"38,436"
2022,2,부산,"12,290"
2022,2,대구,"14,292"
2022,2,인천,"12,139"
2022,2,광주,"5,323"
2022,2,대전,"7,306"
2022,2,울산,"5,019"
2022,2,세종,"1,917"
2022,2,경기,"35,476"
2022,2,강원,"7,587"
2022,2,충북,"6,984"
2022,2,충남,"8,530"
2022,2,전북,"6,224"
2022,2,전남,"7,919"
2022,2,경북,"7,918"
2022,2,경남,"11,721"
2022,2,제주,"21,557"
2022,1,서울,"38,014"
2022,1,부산,"11,314"
2022,1,대구,"13,917"
2022,1,인천,"11,943"
2022,1,광주,"5,036"
2022,1,대전,"7,179"
2022,1,울산,"4,741"
2022,1,세종,"1,896"
2022,1,경기,"34,851"
2022,1,강원,"7,538"
2022,1,충북,"6,770"
2022,1,충남,"8,213"
2022,1,전북,"5,989"
2022,1,전남,"7,696"
2022,1,경북,"7,786"
2022,1,경남,"11,277"
2022,1,제주,"21,332"
2021,12,서울,"37,617"
2021,12,부산,"11,163"
2021,12,대구,"13,942"
2021,12,인천,"11,829"
2021,12,광주,"4,961"
2021,12,대전,"7,204"
2021,12,울산,"4,727"
2021,12,세종,"1,874"
2021,12,경기,"34,642"
2021,12,강원,"7,550"
2021,12,충북,"6,778"
2021,12,충남,"8,194"
2021,12,전북,"5,888"
2021,12,전남,"7,565"
2021,12,경북,"7,779"
2021,12,경남,"11,146"
2021,12,제주,"21,325"
2021,11,서울,"36,341"
2021,11,부산,"10,651"
2021,11,대구,"13,941"
2021,11,인천,"10,812"
2021,11,광주,"4,844"
2021,11,대전,"7,243"
2021,11,울산,"4,720"
2021,11,세종,"1,728"
2021,11,경기,"33,728"
2021,11,강원,"7,211"
2021,11,충북,"6,430"
2021,11,충남,"8,150"
2021,11,전북,"5,810"
2021,11,전남,"6,942"
2021,11,경북,"7,678"
2021,11,경남,"10,770"
2021,11,제주,"21,202"
2021,10,서울,"32,810"
2021,10,부산,"10,096"
2021,10,대구,"13,772"
2021,10,인천,"10,461"
2021,10,광주,"4,822"
2021,10,대전,"7,151"
2021,10,울산,"4,764"
2021,10,세종,"1,694"
2021,10,경기,"32,660"
2021,10,강원,"6,869"
2021,10,충북,"6,093"
2021,10,충남,"7,951"
2021,10,전북,"5,601"
2021,10,전남,"6,815"
2021,10,경북,"7,341"
2021,10,경남,"10,009"
2021,10,제주,"20,436"
2021,9,서울,"31,227"
2021,9,부산,"9,738"
2021,9,대구,"13,181"
2021,9,인천,"9,779"
2021,9,광주,"4,775"
2021,9,대전,"6,488"
2021,9,울산,"4,759"
2021,9,세종,"1,647"
2021,9,경기,"31,322"
2021,9,강원,"6,308"
2021,9,충북,"5,760"
2021,9,충남,"7,481"
2021,9,전북,"5,214"
2021,9,전남,"6,633"
2021,9,경북,"7,091"
2021,9,경남,"9,197"
2021,9,제주,"19,990"
2021,8,서울,"29,062"
2021,8,부산,"8,838"
2021,8,대구,"12,752"
2021,8,인천,"8,664"
2021,8,광주,"4,573"
2021,8,대전,"5,969"
2021,8,울산,"4,503"
2021,8,세종,"1,540"
2021,8,경기,"29,984"
2021,8,강원,"5,930"
2021,8,충북,"5,415"
2021,8,충남,"7,139"
2021,8,전북,"4,840"
2021,8,전남,"6,321"
2021,8,경북,"6,882"
2021,8,경남,"8,727"
2021,8,제주,"19,840"
2021,7,서울,"27,258"
2021,7,부산,"8,205"
2021,7,대구,"12,429"
2021,7,인천,"7,798"
2021,7,광주,"4,355"
2021,7,대전,"5,503"
2021,7,울산,"4,415"
2021,7,세종,"1,483"
2021,7,경기,"28,320"
2021,7,강원,"5,500"
2021,7,충북,"5,020"
2021,7,충남,"6,861"
2021,7,전북,"4,587"
2021,7,전남,"6,096"
2021,7,경북,"6,539"
2021,7,경남,"8,340"
2021,7,제주,"19,641"
2021,6,서울,"21,596"
2021,6,부산,"7,269"
2021,6,대구,"9,912"
2021,6,인천,"6,433"
2021,6,광주,"3,676"
2021,6,대전,"4,647"
2021,6,울산,"4,074"
2021,6,세종,"1,173"
2021,6,경기,"23,432"
2021,6,강원,"4,620"
2021,6,충북,"4,092"
2021,6,충남,"5,679"
2021,6,전북,"3,676"
2021,6,전남,"4,697"
2021,6,경북,"5,070"
2021,6,경남,"6,783"
2021,6,제주,"12,846"
2021,5,서울,"20,027"
2021,5,부산,"6,373"
2021,5,대구,"9,443"
2021,5,인천,"5,429"
2021,5,광주,"3,422"
2021,5,대전,"4,107"
2021,5,울산,"3,939"
2021,5,세종,"1,122"
2021,5,경기,"20,604"
2021,5,강원,"4,259"
2021,5,충북,"3,648"
2021,5,충남,"5,135"
2021,5,전북,"3,223"
2021,5,전남,"4,319"
2021,5,경북,"4,683"
2021,5,경남,"6,088"
2021,5,제주,"12,356"
2021,4,서울,"18,646"
2021,4,부산,"5,707"
2021,4,대구,"9,140"
2021,4,인천,"5,072"
2021,4,광주,"3,194"
2021,4,대전,"3,849"
2021,4,울산,"3,835"
2021,4,세종,"1,078"
2021,4,경기,"18,711"
2021,4,강원,"3,967"
2021,4,충북,"3,492"
2021,4,충남,"4,909"
2021,4,전북,"3,004"
2021,4,전남,"4,168"
2021,4,경북,"4,484"
2021,4,경남,"5,705"
2021,4,제주,"12,317"
2021,3,서울,"18,254"
2021,3,부산,"5,507"
2021,3,대구,"9,082"
2021,3,인천,"4,946"
2021,3,광주,"3,132"
2021,3,대전,"3,757"
2021,3,울산,"3,761"
2021,3,세종,"1,013"
2021,3,경기,"18,139"
2021,3,강원,"3,730"
2021,3,충북,"3,444"
2021,3,충남,"4,785"
2021,3,전북,"2,849"
2021,3,전남,"4,067"
2021,3,경북,"4,428"
2021,3,경남,"5,503"
2021,3,제주,"12,321"
